id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,['Sam Hunt'],2kucQ9jQwuD8jWdtR9Ef38,False,69,165386,0.732,0.447,0.458,0.0,0.136,-7.225,0.0311,98.938,0.661
2YMhrXQYKkm4kXLcXKKd5z,Small Town Boy,['Dustin Lynch'],1dID9zgn0OV0Y8ud7Mh2tS,False,66,205733,0.554,0.0251,0.743,0.0,0.359,-6.016,0.0287,72.997,0.673
1vBpwxsLVwaR4evBIaFmqD,Drinkin' Problem,['Midland'],1DTZRmlVZBxx2wRQBtx6yi,False,68,220800,0.622,0.055,0.763,8.91e-06,0.313,-6.4,0.0263,102.0,0.621
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,['Luke Combs'],718COspgdWOnwOFpJHRZHS,False,78,240760,0.551,0.013,0.801,6.03e-06,0.265,-5.069,0.0303,128.027,0.625
6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,['Luke Combs'],718COspgdWOnwOFpJHRZHS,False,74,222533,0.464,0.0153,0.813,0.0,0.254,-6.185,0.0416,75.977,0.515
0s6OWiWGuiCcm1Muzch5A8,Fix a Drink,['Chris Janson'],60gmlHZmT16wiO9GiXKYK9,False,58,188933,0.563,0.0297,0.887,0.0,0.352,-5.013,0.0857,158.05,0.794
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,['Chris Stapleton'],4YLtscXsxbVgi031ovDDdh,False,73,180906,0.613,0.134,0.564,1.65e-06,0.0585,-7.085,0.0251,78.388,0.538
08wJ1B9yu9sPeoRa5fbpr3,It Ain't My Fault,['Brothers Osborne'],39NR3AUhpbbqKM33vWn2fp,False,63,216800,0.735,0.00166,0.831,0.217,0.291,-5.898,0.0332,123.017,0.756
4llYMkhHa1w7UAdDFRQcEZ,Lights Come On,['Jason Aldean'],3FfvYsEGaIb52QPXhg4DcH,False,58,194506,0.567,0.0489,0.839,0.0,0.103,-4.048,0.0698,160.062,0.903
3bzE57iNavJJxXL9GgBiOK,They Don't Know,['Jason Aldean'],3FfvYsEGaIb52QPXhg4DcH,False,47,195306,0.434,0.0207,0.921,0.00209,0.116,-2.248,0.0688,171.945,0.426
4T5Z4mbTe7kuGqgLpaRtTh,Any Ol' Barstool,['Jason Aldean'],3FfvYsEGaIb52QPXhg4DcH,False,59,203293,0.536,0.312,0.722,0.0,0.117,-4.163,0.0284,143.78,0.499
1dFLowBW25EaL2OC7eKEa2,You Look Good,['Lady A'],32WkQRZEVKSzVAAYqukAEA,False,53,181000,0.656,0.045,0.917,0.000732,0.0878,-4.652,0.0495,152.067,0.961
0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,['LANCO'],2lRH2dgU5Kk4Bc5phmII4T,False,0,222400,0.665,0.38,0.621,0.0,0.119,-8.571,0.0524,147.975,0.632
2wxfu24GQpEZQrjDJm5Ac1,Every Little Thing,['Carly Pearce'],4sIl4BTo9l9KqEi0Y3RE72,False,59,180053,0.636,0.434,0.428,1.02e-05,0.0907,-6.512,0.0375,139.919,0.32
7A55QoGK0vf8lGNtaWZm45,When Someone Stops Loving You,['Little Big Town'],3CygdxquGHurS7f9LjNLkv,False,49,228373,0.482,0.263,0.707,0.0,0.115,-3.127,0.0347,125.294,0.238
6UsoV6X96Rox9mfxoz7SFy,You Broke Up with Me,['Walker Hayes'],7sKxqpSqbIzphAKAhrqvlf,False,49,197840,0.846,0.496,0.711,0.0,0.247,-7.939,0.061,120.013,0.883
3IPkbTA8KkdDXyWtGkfFXa,Singles You Up,['Jordan Davis'],77kULmXAQ6vWer7IIHdGzI,False,48,182693,0.635,0.0472,0.903,0.0,0.255,-3.588,0.0323,100.08,0.559
3T6MAweakkNrMYs8jZIWtg,Like I Loved You,['Brett Young'],0fiWOxhsBsQQvFDtxUQWo0,False,64,207186,0.582,0.196,0.568,0.0,0.0841,-6.051,0.0297,76.025,0.64
6waqLPcT6ruMhmd36OhmFO,Losing Sleep,['Chris Young'],4BYxqVkZyFjtik7crYLg5Q,False,55,178253,0.584,0.0715,0.621,1.68e-06,0.389,-5.703,0.0443,92.003,0.634
7zVCrzzEJU7u24sbJPXA5W,What Ifs (feat. Lauren Alaina),"['Kane Brown', 'Lauren Alaina']",3oSJ7TBVCWMDMiYjXNiCKE,False,70,188253,0.612,0.00898,0.799,0.0,0.172,-4.603,0.0275,125.976,0.687
3LhzpgimYSZhTx5KuchwVX,Up Down (Feat. Florida Georgia Line),"['Morgan Wallen', 'Florida Georgia Line']",4oUHIQIBe0LHzYfvXNW4QM,False,0,196240,0.59,0.0913,0.881,0.0,0.157,-2.898,0.0349,129.928,0.734
2d48mamATjby7wgPjdrSOQ,Craving You,"['Thomas Rhett', 'Maren Morris']",6x2LnllRG5uGarZMsD4iO8,False,61,223626,0.613,0.000854,0.839,0.0,0.341,-3.799,0.0352,104.975,0.526
2n5ZD87XQ2yvIxGjoYbUmZ,I'll Name the Dogs,['Blake Shelton'],1UTPBmNbXNTittyMJrNkvw,False,43,183200,0.47,0.163,0.852,2.04e-06,0.281,-5.874,0.0933,168.063,0.773
3AsNVBJ7LHsltdu9490ZiS,A Girl Like You,['Easton Corbin'],070kGpqtESdDsLb3gdMIyx,False,53,217840,0.735,0.0197,0.768,0.0,0.0643,-4.481,0.0353,104.991,0.83
73WWkaWkIRSP3MYGZ14aY4,More Girls Like You,['Kip Moore'],2hJPr4lk7Q8SSvCVBl9fWM,False,57,154706,0.555,0.00825,0.746,0.0,0.0796,-5.522,0.033,75.01,0.712
