id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0xGa0PyJsByzRajl8KYefg,Kisses in the Rain,['Rick Braun'],4ThkLup6LmqCUuHuG434zZ,False,47,272626,0.668,0.306,0.558,0.888,0.0528,-11.645,0.0414,95.123,0.759
1l9IRtd8omIqlGxYYzmyLv,La Dolce Vita,['Warren Hill'],3zayLOSNLcQFtRrufIbMdS,False,48,325093,0.66,0.368,0.674,0.00889,0.0747,-6.593,0.0358,94.988,0.249
4zfF62Jy2mtNCG2wlGy2VK,Pacifica,['Michael Lington'],23P8kVBVyDkO8s6sn1QDre,False,48,256973,0.562,0.0913,0.83,0.786,0.131,-5.975,0.0324,98.857,0.451
61S3v0zujG9J171zdMEap7,Summer Nights,['Nils'],1vzmLZbXh0Bw5Kz5U4iIyB,False,47,238853,0.637,0.189,0.818,0.886,0.0703,-7.178,0.0338,97.983,0.799
4F00pGa6rKvXx043AXvowT,Suede,['Marion Meadows'],46PWlvjKg5zNakteW1CJkG,False,47,256226,0.74,0.344,0.581,0.013,0.118,-7.692,0.0304,99.96,0.602
15X9hW8V03M3NWVQ4yVAZq,Slow Jam,['Euge Groove'],05UwRaoOjJPuGzCtawrORF,False,47,309386,0.633,0.123,0.649,0.509,0.0679,-7.323,0.0383,151.96,0.488
6rKan5MDdzwXHUy90RYn26,Keepin' It Cool,['Nick Colionne'],2sCtM9BmF4hSfiwEwiAm5l,False,46,214986,0.73,0.568,0.646,0.832,0.0704,-8.2,0.0375,83.025,0.823
4c1n3sgF8KcQXi6pF45X9o,24/7,['Paul Brown'],4Hisv12GBxgMUsB2eBW5jy,False,46,267266,0.844,0.556,0.603,0.881,0.131,-8.527,0.0568,103.648,0.724
2Wn7ZtdXyJ9uGBg2j6VvZR,I'm Waiting For You,['Jackiem Joyner'],7v8LpmcY0BFVhJCispRDgg,False,46,245226,0.62,0.161,0.788,0.507,0.061,-6.358,0.0565,167.996,0.75
4qkdBTRPwojWnqGcUSVQ3Z,Tequila Moon,['Jessy J'],4WrtIP5PIekZwaAZo1tb0x,False,45,276333,0.631,0.688,0.437,0.577,0.118,-11.137,0.0344,95.242,0.636
2v9hQceHtGZdE4WbTFdhWM,Waiting,['Brian Simpson'],4uIdP3jwyR0xifCS2FYS3o,False,45,326213,0.506,0.277,0.465,0.503,0.0368,-10.511,0.0366,67.919,0.432
3fV8jbhyPEBcltw5d79W1s,Let It Flow,['Eric Darius'],39HDjLbYtWrCQrqpl9sOX8,False,44,289240,0.777,0.273,0.556,0.154,0.1,-8.664,0.0278,87.009,0.788
6lOaVShahOYSeDR2RS0b9l,Do You Wanna Dance,['Walter Beasley'],6tBzJqpqRAPyJFR4Rq0yBP,False,44,218293,0.607,0.633,0.342,6.71e-05,0.297,-13.197,0.0301,77.979,0.43
0vEHMGB81YJ5QYrIIVExH9,Blue Water,['Eric Marienthal'],4wmaum7AmnVV5riHLEWvaK,False,44,250746,0.689,0.0838,0.692,0.636,0.0947,-7.26,0.0301,115.035,0.652
7LdSiHHU6cynBDc7j3DDoc,Soul Dream,['Tim Bowman'],0lVHG6dLy7suf4FaubTzF5,False,44,302813,0.63,0.347,0.601,0.701,0.0578,-7.72,0.0413,170.023,0.807
4gvWlsrQogixhISq7Oz1r4,Eye 2 Eye,['Najee'],41F8cUV8LJGVDPNnj0ito3,False,44,283266,0.724,0.604,0.813,0.0281,0.0643,-3.369,0.0756,90.007,0.724
15m7BNAMsBE5rxwpwfN0bB,The Sax Pack,['The Sax Pack'],2m74KCZFBOTpNy1g9XLbSA,False,43,214986,0.785,0.21,0.692,0.734,0.0672,-5.619,0.0321,98.974,0.71
5ClGoF3ctjs65gRIhqJR7Y,Dreaming Of You,['Brian Culbertson'],4WQ8grqJHB2Y0IDjpro1FE,False,43,234000,0.668,0.458,0.547,0.93,0.0742,-13.047,0.0526,85.003,0.76
5kmQaaHOzgnzJmDpHJVtQY,City Lights,['Nelson Rangell'],5lFAGKb5mvPQX9on6lKC88,False,43,333880,0.723,0.226,0.615,0.2,0.327,-8.987,0.0293,97.98,0.55
5tuPqvXQw7SJwuX78R9pB2,Who's That Lady,['Peter White'],4siC0n7Bs9OzoZlB1HKquS,False,43,270773,0.775,0.587,0.51,0.797,0.102,-8.81,0.0329,110.216,0.415
4jZCaGd8dbeuPy707up4g2,18th & M,['Marcus Johnson'],5BrGYYrfP3agYhqDUFcSSM,False,43,210773,0.789,0.345,0.676,0.0281,0.112,-8.124,0.0344,91.011,0.869
4FfSbVMebj3ot6ZWheAsC2,Nightfall,['Kim Waters'],6kgHtfY7ECO4JWbOpXOu4I,False,42,332293,0.574,0.206,0.62,0.207,0.3,-8.127,0.0352,171.855,0.524
6dcNq7ZdQMG5ucQeuTZcWd,I Still Believe,['Norman Brown'],79kOOyVKcrCOKDnzcDHsia,False,42,239333,0.722,0.801,0.443,0.000917,0.111,-9.742,0.0431,79.98,0.767
1v8gTqiwsGZycNqn0dEvGh,On The Wes Side,['Jeff Golub'],12455ZzxS49FbAGWKeB9eB,False,42,266106,0.733,0.626,0.403,0.777,0.104,-11.327,0.0437,96.165,0.165
2vxubkwtKQ2Sn4FU47ygii,11:58,['Candy Dulfer'],287jMoxHzjERgHI6ja8TKa,False,41,242000,0.798,0.174,0.522,0.811,0.121,-7.341,0.0318,89.993,0.309
5vM8GpI04rVLp7m1gUHDRa,I Wanna Be Where You Are,"['Bob Baldwin', 'Dennis Johnson', 'Armando Marçal']",6URFeH3cWWv6tj2RazL9IP,False,41,346266,0.705,0.0497,0.854,0.877,0.0977,-8.167,0.0417,89.015,0.673
