id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5iSEsR6NKjlC9SrIJkyL3k,Pursuit Of Happiness (Nightmare),"['Kid Cudi', 'MGMT', 'Ratatat']",0fA0VVWsXO9YnASrzqfmYu,True,72,295293,0.63,0.484,0.605,9.29e-05,0.298,-8.951,0.0414,115.277,0.266
5UsLjwBaTHBX4ektWIr4XX,Forever,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",3TVXtAsR1Inumwj472S9r4,True,72,357706,0.457,0.249,0.906,0.0,0.182,-2.278,0.342,104.02,0.54
7LR85XLWw2yXqKBSI5brbG,Run This Town,"['JAY-Z', 'Rihanna', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,True,80,267520,0.632,0.281,0.924,0.0,0.263,-1.802,0.29,86.844,0.441
1HR2CTi0ytRJIcik1QKdOa,Beautiful,['Eminem'],7dGJo4pcD2V6oG8kP0tJRR,True,70,392826,0.727,0.251,0.696,0.0,0.0726,-4.472,0.0706,132.077,0.467
6Rb0ptOEjBjPPQUlQtQGbL,Hotel Room Service,['Pitbull'],0TnOYISbd1XYRBk9myaseg,False,71,237640,0.851,0.00705,0.629,0.000372,0.0746,-8.385,0.175,125.984,0.789
3iL2l5gUqyPS6vDwJFgJTR,BedRock,"['Young Money', 'Lloyd']",5OrB6Jhhrl9y2PK0pSV4VP,True,68,288133,0.733,0.102,0.664,0.0,0.191,-6.163,0.295,148.005,0.557
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,['Drake'],3TVXtAsR1Inumwj472S9r4,True,75,257690,0.395,0.19,0.922,0.0,0.134,-2.176,0.375,162.361,0.558
1WtTLtofvcjQM3sXSMkDdX,How Low,['Ludacris'],3ipn9JLAPI5GUEo4y4jcoi,True,62,201586,0.785,0.00248,0.498,1.23e-06,0.224,-6.977,0.0533,143.96,0.418
1AJx5jJQy9pKKxcnHm85RY,Dysfunctional,['Tech N9ne Collabos'],4UOlRVifrFdQHW9qu5ep8t,True,61,240173,0.782,0.281,0.835,0.0,0.459,-4.278,0.283,80.014,0.527
5wfllwdjglyQislkskYLBv,Day 'N' Nite (nightmare),['Kid Cudi'],0fA0VVWsXO9YnASrzqfmYu,False,70,221240,0.881,0.48,0.441,9.08e-06,0.119,-6.278,0.0646,138.014,0.804
3cSuhzV7wKX5diQ8hos78P,Steady Mobbin,"['Young Money', 'Gucci Mane']",5OrB6Jhhrl9y2PK0pSV4VP,True,61,310733,0.488,0.0219,0.691,0.0,0.501,-8.09,0.279,156.141,0.697
4dK00wCxlqWEeN8BoM1BHT,Crack A Bottle,"['Eminem', 'Dr. Dre', '50 Cent']",7dGJo4pcD2V6oG8kP0tJRR,True,70,297520,0.516,0.0864,0.874,0.0,0.173,-2.571,0.186,169.561,0.391
35srNkJVToAzYiZzron1FY,Young Forever,"['JAY-Z', 'Mr Hudson']",3nFkdlSjzX9mRTtwJOzDYB,True,64,253906,0.637,0.417,0.69,0.0,0.211,-3.214,0.0693,140.329,0.103
2Vy16OMt19FH30uQNTFdLk,THAT'S THAT,['MF DOOM'],2pAWfrd7WFF3XhVt9GooDL,True,61,135066,0.499,0.235,0.728,0.0,0.686,-4.922,0.385,96.089,0.853
5aooThgj87ID0vgiyvcjPM,I'm Goin In,"['Drake', 'Lil Wayne', 'Jeezy']",3TVXtAsR1Inumwj472S9r4,True,63,225306,0.662,0.0389,0.763,0.0,0.103,-8.455,0.377,170.031,0.566
7qje9qxLncMESiPeI27SAn,Say Something (Featuring Drake),"['Timbaland', 'Drake']",5Y5TRrQiqgUO4S36tzjIRZ,True,60,240920,0.555,0.0845,0.713,0.0,0.712,-4.549,0.0911,79.934,0.725
1x075F39Q0zOhjPzPKgG8E,Baby By Me,"['50 Cent', 'Ne-Yo']",3q7HBObVc0L8jNeTe5Gofh,True,59,213360,0.611,0.0045,0.827,0.0132,0.0283,-4.665,0.0876,190.058,0.355
7xVwhsuZTUWhIyFeDH6rYr,Next to You,['Mike Jones'],07VmOvmuBp9G0gb8BTrpn0,True,59,221933,0.65,0.324,0.753,0.0,0.307,-4.745,0.0632,82.478,0.616
0rFpcfF0YfvFUYsl99Bw9d,Soundtrack 2 My Life,['Kid Cudi'],0fA0VVWsXO9YnASrzqfmYu,True,65,235626,0.464,0.465,0.754,1.57e-05,0.37,-6.653,0.128,86.501,0.444
57QFOU3f7O0gDLadxv5z8w,Ice Cream Paint Job,['Dorrough Music'],5MAp6rMiUJjRLXMWtArXRS,True,59,237320,0.851,0.000595,0.598,0.0,0.343,-8.356,0.439,180.046,0.654
1z667LebVh3DtYNrVJEao0,All the Above (feat. T-Pain),"['Maino', 'T-Pain']",20apXQGKM00jJTvYfyKwlb,True,58,319940,0.374,0.0762,0.888,0.0,0.202,-3.197,0.12,148.828,0.365
4UMTp91LHhvW33ol9ZQH0Q,We Made You,['Eminem'],7dGJo4pcD2V6oG8kP0tJRR,False,64,269613,0.924,0.107,0.853,1.45e-06,0.129,-1.203,0.0792,114.003,0.67
0JaVdpmiex2EP7bBzyKVTa,November 18th,['Drake'],3TVXtAsR1Inumwj472S9r4,True,58,188189,0.749,0.579,0.476,0.0,0.1,-11.147,0.507,71.937,0.534
1akgiRM3mN2nxu2AX6ACCW,I Love College,['Asher Roth'],1wgY8huggK60P5nvYrwcYT,True,58,241933,0.713,0.0897,0.826,0.0,0.421,-4.075,0.243,86.444,0.664
6rUcS9i07F6okIe8wujs5J,Lemonade,['Gucci Mane'],13y7CgLHjMVRMDqxdx0Xdo,True,57,246013,0.741,0.643,0.658,3.43e-06,0.307,-7.758,0.0853,142.057,0.746
4ljDnzzqwnRIynr1g55um4,On To The Next One,"['JAY-Z', 'Swizz Beatz']",3nFkdlSjzX9mRTtwJOzDYB,True,57,256133,0.546,0.215,0.908,9.47e-06,0.107,-1.655,0.417,116.885,0.59
03MWa1FMygR3RrQoQytsjS,Cudi Zone,['Kid Cudi'],0fA0VVWsXO9YnASrzqfmYu,True,61,259040,0.706,0.546,0.691,1.3e-06,0.366,-5.86,0.0338,134.751,0.597
