id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4o6k1XHlrIZay8v1m5VU83,A Warrior's Call,['Volbeat'],0L5fC7Ogm2YwgqVCRcF1bT,False,67,263080,0.373,0.00077,0.903,5.86e-06,0.244,-4.49,0.083,109.121,0.43
7ueP5u2qkdZbIPN2YA6LR0,Sail,['AWOLNATION'],4njdEjTnLfcGImKZu1iSrz,False,72,259093,0.826,0.441,0.436,0.615,0.0964,-9.583,0.0558,119.051,0.272
4UEo1b0wWrtHMC8bVqPiH8,Nightmare,['Avenged Sevenfold'],0nmQIMXWTXfhgOBdNzhGOs,True,70,374453,0.554,0.000318,0.949,9.98e-05,0.2,-4.928,0.0787,129.984,0.233
3GBApU0NuzH4hKZq4NOSdA,What You Know,['Two Door Cinema Club'],536BYVgOnRky0xjsPT96zl,False,69,191706,0.563,0.00073,0.739,1.45e-05,0.0822,-4.239,0.0416,139.0,0.775
1fBl642IhJOE5U319Gy2Go,Animal,['Neon Trees'],0RpddSzUHfncUWNJXKOsjy,False,68,212293,0.482,0.000346,0.833,0.0,0.365,-5.611,0.0449,148.039,0.74
5BB0Jzw60KyfSTyjJqtely,Na Na Na (Na Na Na Na Na Na Na Na Na),['My Chemical Romance'],7FBcuc1gsnv6Y1nwFtNRCb,True,67,205960,0.411,0.000264,0.986,0.00148,0.371,-2.522,0.0583,165.981,0.649
25GC50HslaaruyrKjdu0lP,Your Betrayal,['Bullet For My Valentine'],7iWiAD5LLKyiox2grgfmUT,False,66,291426,0.569,8.07e-05,0.883,7.74e-05,0.0883,-4.41,0.0748,134.001,0.373
4JsDHMv5PVO8N07DbDq33r,All I Want,['A Day To Remember'],4NiJW4q9ichVqL1aUsgGAN,False,66,202640,0.349,2.58e-05,0.981,0.0,0.343,-3.228,0.141,160.042,0.207
25nzKGDiua1lE9Qo5V19GL,Young Blood,['The Naked And Famous'],0oeUpvxWsC8bWS6SnpU8b9,False,66,246600,0.579,5.63e-05,0.865,0.000221,0.649,-4.692,0.0302,104.99,0.358
0umDVf77ygI5RiVp9OvNDj,Pyro,['Kings of Leon'],2qk9voo8llSGYcZ6xrBzKx,False,65,250533,0.365,0.00757,0.606,0.052,0.103,-7.174,0.0415,114.995,0.191
3Q8zopc4ABXhysDb1sgLVW,Porn Star Dancing,"['My Darkest Days', 'Zakk Wylde']",64g59lHsc4g2jMFokrKDGW,False,65,199013,0.477,0.0139,0.917,0.0,0.0756,-3.399,0.0814,160.021,0.267
0jqblvsI9LBY4irmLVqqEO,Welcome to the Family,['Avenged Sevenfold'],0nmQIMXWTXfhgOBdNzhGOs,False,65,245573,0.567,0.00267,0.946,0.0,0.0567,-3.973,0.0935,94.985,0.699
0bePGTDjn0XuEKoN7rOMvV,Undercover Martyn,['Two Door Cinema Club'],536BYVgOnRky0xjsPT96zl,False,64,167773,0.454,0.000244,0.873,1.73e-05,0.0847,-5.072,0.122,159.814,0.562
0grFc6klR3hxoHLcgCYsF4,Howlin' for You,['The Black Keys'],7mnBLXK823vNxN3UWB7Gfz,False,64,191800,0.705,0.028,0.735,0.0783,0.112,-6.646,0.0931,132.627,0.448
4a9i7rCLfPjbS1sNamZeQN,Cryin' Like A Bitch!!,['Godsmack'],6gZq1Q6bdOxsUPUG1TaFbF,True,63,201666,0.543,7.19e-05,0.808,0.00336,0.114,-5.484,0.0407,95.19,0.472
6bGac1gBHs7kUKihrudMzq,Bulletproof Love,['Pierce The Veil'],4iJLPqClelZOBCBifm8Fzv,False,63,237400,0.452,0.00205,0.964,5.31e-06,0.205,-2.877,0.0792,144.048,0.464
5cwN1htZyoWqZCc33f3RfE,The High Road,['Broken Bells'],6dgwEwnK0YtDfS9XhRwBTG,False,63,232200,0.61,0.0672,0.638,6.59e-06,0.283,-6.574,0.0238,79.955,0.603
1wFRkVclQWfMQQcaVLjmBE,"If I'm James Dean, You're Audrey Hepburn",['Sleeping With Sirens'],3N8Hy6xQnQv1F1XCiyGQqA,False,62,219106,0.425,2.1e-05,0.936,0.0,0.926,-5.52,0.0829,158.046,0.417
2TNPagu8Z4zvDOpmnktF00,Warrior,['Disturbed'],3TOqt5oJwL9BE2NG9MEwDa,False,61,204826,0.549,1.16e-05,0.969,0.106,0.104,-2.763,0.049,101.055,0.348
3gXxpp7y7EAOg4PVqqGCAb,Fallen,['Volbeat'],0L5fC7Ogm2YwgqVCRcF1bT,False,61,300093,0.315,0.000219,0.744,0.000433,0.106,-4.609,0.059,72.55,0.532
2MVwrvjmcdt4MsYYLCYMt8,Tighten Up,['The Black Keys'],7mnBLXK823vNxN3UWB7Gfz,False,61,211080,0.504,0.00121,0.705,4.12e-06,0.453,-6.179,0.0665,108.965,0.567
7Hr1Ignop7cymbE3FbOtXa,So Far Away,['Avenged Sevenfold'],0nmQIMXWTXfhgOBdNzhGOs,False,63,326813,0.286,0.00847,0.703,7.39e-05,0.142,-4.491,0.0348,151.297,0.259
09ZcYBGFX16X8GMDrvqQwt,For the First Time,['The Script'],3AQRLZ9PuTAozP28Skbq8V,True,60,252853,0.396,0.0328,0.629,0.0,0.183,-4.78,0.0287,173.794,0.358
5PtEpuVX03k9bOUwilL5EO,Punching In A Dream,['The Naked And Famous'],0oeUpvxWsC8bWS6SnpU8b9,False,60,238133,0.473,0.00201,0.883,0.000967,0.142,-3.65,0.047,115.048,0.164
72hSmnleYTiiOo23q8ZJIS,Black Sheep,['Metric'],1rCIEwPp5OnXW0ornlSsRl,False,60,297459,0.509,0.00028,0.646,0.00468,0.0973,-6.285,0.0365,124.014,0.142
6S8r0pRxRUy3OF3UUtNjdN,Crossfire,['Brandon Flowers'],18Zv2g2vUcEGqJf6WnjfXN,False,59,256133,0.571,0.00403,0.686,0.00108,0.22,-6.698,0.027,110.021,0.352
2cLvZokGgikrGmY6XIzztS,Every Lie,['My Darkest Days'],64g59lHsc4g2jMFokrKDGW,False,58,176400,0.578,0.000807,0.938,0.0,0.229,-3.163,0.0462,112.031,0.594
5Hgx4ssabqTTD1fmGFTmi2,Heaven Nor Hell,['Volbeat'],0L5fC7Ogm2YwgqVCRcF1bT,False,58,322613,0.411,0.000621,0.767,0.00842,0.134,-4.211,0.056,134.408,0.659
2UWdUez9MB9yzL7Y81Mcip,The Suburbs,['Arcade Fire'],3kjuyTCjPG1WMFCiyc5IuB,False,58,315200,0.616,0.0578,0.682,0.0241,0.342,-6.148,0.0265,117.78,0.528
60CirPlTOEWOUBus7HxV3B,Radioactive,['Kings of Leon'],2qk9voo8llSGYcZ6xrBzKx,False,58,206186,0.408,0.00877,0.925,0.000454,0.12,-4.88,0.0533,126.405,0.361
36QG29bbGuJkxNgzY6o9Mu,Love-Hate-Sex-Pain,['Godsmack'],6gZq1Q6bdOxsUPUG1TaFbF,False,58,315453,0.215,6.07e-05,0.911,3.47e-06,0.183,-4.715,0.0394,183.535,0.47
5ZiTzbMB53mIiP3I4uQCmt,Ritual,['Ghost'],1Qp56T7n950O3EGMsSl81D,False,57,268746,0.671,0.0882,0.867,3.29e-05,0.119,-5.194,0.0503,132.01,0.698
1mX6SYJ1ZpcoxQUiER8wOI,SING,['My Chemical Romance'],7FBcuc1gsnv6Y1nwFtNRCb,False,57,270386,0.606,0.000233,0.942,7.07e-06,0.106,-3.618,0.0357,110.98,0.373
2HaUEu0wAO5AOT0UB3i0LO,Living In A Dream,['Finger Eleven'],0niJkG4tKkne3zwr7I8n9n,False,57,184773,0.534,0.00216,0.922,6.34e-05,0.257,-2.305,0.0568,98.022,0.71
6dU5RxthbuaN31bRbEDlNw,Everlasting Light,['The Black Keys'],7mnBLXK823vNxN3UWB7Gfz,False,56,203773,0.641,0.127,0.582,0.00632,0.354,-6.554,0.0483,181.039,0.725
1V4Bq9kYHMk9yILUp5z3o3,Waiting for the End,['Linkin Park'],6XyY86QOPPrYVGvF9ch6wz,False,56,231680,0.487,0.0415,0.961,1.15e-06,0.553,-4.139,0.132,170.005,0.323
3SJWVMRwk5z4Uaff7kGs0d,Spanish Sahara,['Foals'],6FQqZYVfTNQ1pCqfkwVFEa,False,56,409560,0.364,0.0306,0.565,0.0369,0.108,-10.085,0.0705,128.222,0.346
2ZhswJTKMkNNTAjrTmPhOJ,Knives and Pens,['Black Veil Brides'],6O7MpKrY91vlCd4Osi6XKs,False,56,255840,0.417,0.000351,0.976,0.000117,0.074,-4.696,0.0665,186.081,0.463
7oL13WHjhUFhVq9POP7qfC,Say You'll Haunt Me,['Stone Sour'],49qiE8dj4JuNdpYGRPdKbF,False,54,264373,0.559,1.2e-05,0.868,0.00394,0.0418,-4.738,0.0475,140.021,0.684
01wsKcJ8ptqUmatpJlEGYj,Ready to Start,['Arcade Fire'],3kjuyTCjPG1WMFCiyc5IuB,False,53,255893,0.282,0.12,0.932,0.0335,0.0692,-4.701,0.0387,190.08,0.536
2opyAm6zOyjR0An5LkblfN,Make Me Wanna Die,['The Pretty Reckless'],2R57sY41L9XvGPiIgHOaYq,False,53,235653,0.495,0.00227,0.905,3.29e-06,0.142,-3.768,0.0653,97.106,0.215
36WNQJFVjYhDRZ6vJhYXEh,Let Me Hear You Scream,['Ozzy Osbourne'],6ZLTlhejhndI4Rh53vYhrY,False,53,205800,0.492,0.000367,0.979,0.0,0.953,-2.315,0.0888,130.005,0.315
5KtgU8E7aO3sAkqHFIrL7N,16 Dollars,['Volbeat'],0L5fC7Ogm2YwgqVCRcF1bT,False,53,168720,0.521,0.000859,0.88,1.82e-06,0.261,-5.1,0.0419,126.733,0.499
3EZAnO8lnPCBCcJcwAZbEB,Another Way to Die,['Disturbed'],3TOqt5oJwL9BE2NG9MEwDa,False,50,253386,0.621,8.46e-05,0.967,0.00612,0.12,-2.35,0.0692,112.017,0.315
2iPTESocncak2Q45oXzKOG,Beat the Devil's Tattoo,['Black Rebel Motorcycle Club'],1tpXaFf2F55E7kVJON4j4G,False,49,225760,0.521,0.42,0.921,0.0207,0.175,-2.744,0.0382,96.51,0.707
4tXBsD5sEzxlJjWCOz6qzs,The Catalyst,['Linkin Park'],6XyY86QOPPrYVGvF9ch6wz,False,53,339853,0.56,0.0372,0.925,0.0,0.104,-5.48,0.0362,135.009,0.178
4DJLcyfnyEGlUejAEAX4az,1983,['Neon Trees'],0RpddSzUHfncUWNJXKOsjy,False,49,222560,0.463,7.37e-05,0.981,0.0,0.102,-3.922,0.18,153.048,0.703
4z1YRT2pdtzDKfuJoU8w3k,Kick In The Teeth,['Papa Roach'],4RddZ3iHvSpGV4dvATac9X,True,48,191453,0.557,0.00016,0.989,3.75e-06,0.309,-3.053,0.137,122.999,0.454
29BK3FAFBEfhO5w4ZlFrky,Memories,['Weezer'],3jOstUTkEu2JkjvRdBA5Gu,False,47,194306,0.354,1.39e-05,0.895,0.00146,0.159,-5.964,0.0962,152.035,0.293
5rMNQfYhBMlyitrMAiwQfc,I Know What I Am,['Band Of Skulls'],4ddt8PPvmWrI9mJQy1VrIG,False,44,198000,0.64,0.175,0.904,1.21e-05,0.105,-4.28,0.0874,99.41,0.559
0XaPN9mU1BgLJZhuCxzc6T,You,['The Pretty Reckless'],2R57sY41L9XvGPiIgHOaYq,False,43,212186,0.161,0.196,0.543,0.0801,0.137,-7.304,0.0284,78.371,0.261
7nQvsGF9dfD0ZaXIFT8hoF,This Is War,['Thirty Seconds To Mars'],0RqtSIYZmd4fiBKVFqyIqD,False,35,326983,0.402,0.0663,0.723,2e-06,0.233,-5.26,0.0579,160.047,0.224
6v8BjpWJ2pgzUiHpuf11wE,Burn,['Papa Roach'],4RddZ3iHvSpGV4dvATac9X,True,47,205746,0.455,2.47e-05,0.981,0.000995,0.0844,-3.06,0.119,91.03,0.415
6SoUUr6i1X0GReHinApeKI,Iridescent,['Linkin Park'],6XyY86QOPPrYVGvF9ch6wz,False,53,296560,0.484,0.198,0.727,0.00204,0.107,-6.107,0.0358,120.066,0.216
