,id,name,artists,artistid,explicit,popularity,durationms,year,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,dancepop,edm,pop,poprap,rap,arianagrande,badbunny,billieeilish,brunomars,calvinharris,cardib,chrisbrown,drake,dualipa,edsheeran,justinbieber,kendricklamar,khalid,nickiminaj,postmalone,rihanna,selenagomez,shawnmendes,taylorswift,theweeknd
0,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,84,233478,2012,0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,['Carly Rae Jepsen'],6sFIWsNpZYqfjUpaCgueju,False,69,193400,2012,0.783,0.0114,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,0.66,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']",5nCi3BB41mBaMH9gfr6Su0,False,70,250626,2012,0.378,0.02,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,0.735,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1z9kQ14XBSN0r2v6fx4IdG,Diamonds,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,False,67,225146,2012,0.564,0.00125,0.71,0.0,0.109,-4.92,0.0461,91.972,0.393,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3GZD6HmiNUhxXYf8Gch723,Lost,['Frank Ocean'],2h93pZq0e7k5yf4dywlkpM,True,81,234093,2012,0.913,0.0272,0.603,0.000503,0.167,-4.892,0.226,123.061,0.497,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"['JAY-Z', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,True,80,219333,2012,0.789,0.127,0.858,0.0,0.349,-5.542,0.311,140.022,0.775,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,80,199986,2012,0.726,0.009,0.787,0.0,0.0596,-2.494,0.0737,124.99,0.888,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6nek1Nin9q48AVZcWs9e9D,Paradise,['Coldplay'],4gzpq5DPGxSnKTe4SA8HAU,False,80,278719,2012,0.449,0.0509,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,0.212,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",1h6Cn3P4NGzXbaXidqURXs,False,77,212862,2012,0.612,0.112,0.84,0.0,0.116,-3.145,0.0509,129.042,0.438,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6lanRgr6wXibZr8KgzXxBl,A Thousand Years,['Christina Perri'],7H55rcKCfwqkyDFH9wpKM6,False,77,285120,2012,0.421,0.309,0.407,0.000961,0.11,-7.445,0.0267,139.028,0.161,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
