,Unnamed: 0,name,artists,artistid,id,explicit,popularity,durationms,year,genres
0,0,Locked out of Heaven,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,3w3y8KPTfNeOKPiqUTakBh,False,84,233478,2012,"['dance pop', 'pop']"
1,1,Call Me Maybe,['Carly Rae Jepsen'],6sFIWsNpZYqfjUpaCgueju,3TGRqZ0a2l1LRblBkJoaDx,False,69,193400,2012,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
2,2,We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']",5nCi3BB41mBaMH9gfr6Su0,7a86XRg84qjasly9f6bPSD,False,70,250626,2012,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']"
3,3,Diamonds,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,1z9kQ14XBSN0r2v6fx4IdG,False,67,225146,2012,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
4,4,Lost,['Frank Ocean'],2h93pZq0e7k5yf4dywlkpM,3GZD6HmiNUhxXYf8Gch723,True,81,234093,2012,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
5,5,Ni**as In Paris,"['JAY-Z', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,4Li2WHPkuyCdtmokzW2007,True,80,219333,2012,"['east coast hip hop', 'hip hop', 'rap']"
6,6,What Makes You Beautiful,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,4cluDES4hQEUhmXj6TXkSo,False,80,199986,2012,"['boy band', 'pop', 'post-teen pop', 'talent show']"
7,7,Paradise,['Coldplay'],4gzpq5DPGxSnKTe4SA8HAU,6nek1Nin9q48AVZcWs9e9D,False,80,278719,2012,"['permanent wave', 'pop']"
8,8,Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",1h6Cn3P4NGzXbaXidqURXs,2V65y3PX4DkRhy1djlxd9p,False,77,212862,2012,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
9,9,A Thousand Years,['Christina Perri'],7H55rcKCfwqkyDFH9wpKM6,6lanRgr6wXibZr8KgzXxBl,False,77,285120,2012,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
10,10,Levels - Radio Edit,['Avicii'],1vCWHaC5f2uS3yhpwWbIA6,5UqCQaDshqbIk3pkhy4Pjg,False,77,199906,2012,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
11,11,Feel So Close - Radio Edit,['Calvin Harris'],7CajNmpbOovFoOoasH2HaY,1gihuPhrLraKYrJMAEONyc,False,76,206413,2012,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
12,12,Everybody Talks,['Neon Trees'],0RpddSzUHfncUWNJXKOsjy,2iUmqdfGZcHIhS3b9E9EWq,True,75,177280,2012,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
13,13,Drive By,['Train'],3FUY2gzHeIiaesXtOAdB7A,0KAiuUOrLTIkzkpfpn9jb9,False,74,195973,2012,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
14,14,Thinkin Bout You,['Frank Ocean'],2h93pZq0e7k5yf4dywlkpM,7DfFc7a6Rwfi3YQMRbDMau,False,75,200746,2012,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
15,15,Skyfall,['Adele'],4dpARuHxo51G3z768sgnrY,6VObnIkLVruX4UVyxWhlqm,False,74,286480,2012,"['british soul', 'pop', 'pop soul', 'uk pop']"
16,16,"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",7hJcb9fa4alzcOq3EaNPoG,5HQVUIKwCEXpe7JIHyY734,True,74,207333,2012,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
17,17,Wild Ones (feat. Sia),"['Flo Rida', 'Sia']",0jnsk9HBra6NMjO2oANoPY,1NpW5kyvO4XrNJ3rnfcNy3,False,74,232946,2012,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
18,18,Girl on Fire,['Alicia Keys'],3DiDSECUqqY1AuBP8qtaIa,4esOae7i4rqTbAu9o5Pxco,False,74,224920,2012,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
19,19,I Knew You Were Trouble.,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,6FB3v4YcR57y4tXFcdxI1E,False,74,219720,2012,['pop']
20,20,Die Young,['Kesha'],6LqNN22kT3074XbTVUrhzX,7EQGXaVSyEDsCWKmUcfpLk,False,74,211920,2012,"['dance pop', 'pop', 'post-teen pop']"
21,21,Try,['P!nk'],1KCSPY1glIKqW2TotWuXOR,1jF7IL57ayN4Ity3jQqGu0,False,74,247906,2012,"['dance pop', 'pop']"
