id,Unnamed: 0.1,name,artists,artistid,explicit,popularity,durationms,year,genres,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
3w3y8KPTfNeOKPiqUTakBh,0,Locked out of Heaven,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,84,233478,2012,"['dance pop', 'pop']",0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867
3TGRqZ0a2l1LRblBkJoaDx,1,Call Me Maybe,['Carly Rae Jepsen'],6sFIWsNpZYqfjUpaCgueju,False,69,193400,2012,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",0.783,0.0114,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,0.66
7a86XRg84qjasly9f6bPSD,2,We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']",5nCi3BB41mBaMH9gfr6Su0,False,70,250626,2012,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",0.378,0.02,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,0.735
1z9kQ14XBSN0r2v6fx4IdG,3,Diamonds,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,False,67,225146,2012,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.564,0.00125,0.71,0.0,0.109,-4.92,0.0461,91.972,0.393
3GZD6HmiNUhxXYf8Gch723,4,Lost,['Frank Ocean'],2h93pZq0e7k5yf4dywlkpM,True,81,234093,2012,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",0.913,0.0272,0.603,0.000503,0.167,-4.892,0.226,123.061,0.497
4Li2WHPkuyCdtmokzW2007,5,Ni**as In Paris,"['JAY-Z', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,True,80,219333,2012,"['east coast hip hop', 'hip hop', 'rap']",0.789,0.127,0.858,0.0,0.349,-5.542,0.311,140.022,0.775
4cluDES4hQEUhmXj6TXkSo,6,What Makes You Beautiful,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,80,199986,2012,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.726,0.009,0.787,0.0,0.0596,-2.494,0.0737,124.99,0.888
6nek1Nin9q48AVZcWs9e9D,7,Paradise,['Coldplay'],4gzpq5DPGxSnKTe4SA8HAU,False,80,278719,2012,"['permanent wave', 'pop']",0.449,0.0509,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,0.212
2V65y3PX4DkRhy1djlxd9p,8,Don't You Worry Child - Radio Edit,"['Swedish House Mafia', 'John Martin']",1h6Cn3P4NGzXbaXidqURXs,False,77,212862,2012,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",0.612,0.112,0.84,0.0,0.116,-3.145,0.0509,129.042,0.438
6lanRgr6wXibZr8KgzXxBl,9,A Thousand Years,['Christina Perri'],7H55rcKCfwqkyDFH9wpKM6,False,77,285120,2012,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",0.421,0.309,0.407,0.000961,0.11,-7.445,0.0267,139.028,0.161
5UqCQaDshqbIk3pkhy4Pjg,10,Levels - Radio Edit,['Avicii'],1vCWHaC5f2uS3yhpwWbIA6,False,77,199906,2012,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.584,0.0462,0.889,0.828,0.309,-5.941,0.0343,126.04,0.464
1gihuPhrLraKYrJMAEONyc,11,Feel So Close - Radio Edit,['Calvin Harris'],7CajNmpbOovFoOoasH2HaY,False,76,206413,2012,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",0.707,0.000972,0.924,0.00703,0.204,-2.842,0.031,127.937,0.919
2iUmqdfGZcHIhS3b9E9EWq,12,Everybody Talks,['Neon Trees'],0RpddSzUHfncUWNJXKOsjy,True,75,177280,2012,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",0.471,0.00301,0.924,0.0,0.313,-3.906,0.0586,154.961,0.725
0KAiuUOrLTIkzkpfpn9jb9,13,Drive By,['Train'],3FUY2gzHeIiaesXtOAdB7A,False,74,195973,2012,"['dance pop', 'neo mellow', 'pop', 'pop rock']",0.765,0.00107,0.837,1.06e-05,0.0801,-3.113,0.032,122.028,0.721
7DfFc7a6Rwfi3YQMRbDMau,14,Thinkin Bout You,['Frank Ocean'],2h93pZq0e7k5yf4dywlkpM,False,75,200746,2012,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",0.721,0.409,0.339,0.00153,0.0973,-11.195,0.0532,129.83,0.2
6VObnIkLVruX4UVyxWhlqm,15,Skyfall,['Adele'],4dpARuHxo51G3z768sgnrY,False,74,286480,2012,"['british soul', 'pop', 'pop soul', 'uk pop']",0.346,0.417,0.552,0.0,0.114,-6.864,0.0282,75.881,0.0789
5HQVUIKwCEXpe7JIHyY734,16,"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",7hJcb9fa4alzcOq3EaNPoG,True,74,207333,2012,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",0.715,0.0525,0.655,0.0,0.115,-6.425,0.137,95.078,0.531
1NpW5kyvO4XrNJ3rnfcNy3,17,Wild Ones (feat. Sia),"['Flo Rida', 'Sia']",0jnsk9HBra6NMjO2oANoPY,False,74,232946,2012,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.608,0.0991,0.86,0.0,0.262,-5.324,0.0554,127.075,0.437
4esOae7i4rqTbAu9o5Pxco,18,Girl on Fire,['Alicia Keys'],3DiDSECUqqY1AuBP8qtaIa,False,74,224920,2012,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.482,0.135,0.706,0.00106,0.105,-5.762,0.0607,92.513,0.144
6FB3v4YcR57y4tXFcdxI1E,19,I Knew You Were Trouble.,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,False,74,219720,2012,['pop'],0.622,0.00454,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,0.679
7EQGXaVSyEDsCWKmUcfpLk,20,Die Young,['Kesha'],6LqNN22kT3074XbTVUrhzX,False,74,211920,2012,"['dance pop', 'pop', 'post-teen pop']",0.711,0.00498,0.7,0.000125,0.215,-4.805,0.046,128.001,0.801
1jF7IL57ayN4Ity3jQqGu0,21,Try,['P!nk'],1KCSPY1glIKqW2TotWuXOR,False,74,247906,2012,"['dance pop', 'pop']",0.674,0.00144,0.628,0.0,0.0944,-7.079,0.03,103.998,0.552
5yVIlYEHZxQVLyInCdldoS,22,Impossible,['James Arthur'],4IWBUUAFIplrNtaOHcJPRM,False,74,209440,2012,"['pop', 'talent show', 'uk pop']",0.376,0.135,0.695,0.0,0.11,-4.782,0.0933,169.533,0.302
1kPpge9JDLpcj15qgrPbYX,23,Good Time,"['Owl City', 'Carly Rae Jepsen']",07QEuhtrNmmZ0zEcqE9SF6,False,74,205933,2012,"['indietronica', 'pop', 'pop rock']",0.56,0.0239,0.872,6.98e-06,0.371,-4.269,0.14,126.05,0.682
0U10zFw4GlBacOy9VDGfGL,24,We Found Love,"['Rihanna', 'Calvin Harris']",5pKCCKE2ajJHZ9KAiaK11H,False,74,215226,2012,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.735,0.025,0.766,0.00138,0.108,-4.485,0.0383,127.985,0.6
62zFEHfAYl5kdHYOivj4BC,25,International Love (feat. Chris Brown),"['Pitbull', 'Chris Brown']",0TnOYISbd1XYRBk9myaseg,False,73,227280,2012,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",0.67,0.0124,0.855,0.0,0.335,-3.035,0.0499,120.05,0.648
124NFj84ppZ5pAxTuVQYCQ,26,Take Care,"['Drake', 'Rihanna']",3TVXtAsR1Inumwj472S9r4,True,72,277386,2012,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.629,0.0267,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,0.299
3bC1ahPIYt1btJzSSEyyrF,27,Whistle,['Flo Rida'],0jnsk9HBra6NMjO2oANoPY,False,74,224653,2012,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.747,0.0208,0.937,0.0,0.29,-5.746,0.0453,103.976,0.739
4wCmqSrbyCgxEXROQE6vtV,28,Somebody That I Used To Know,"['Gotye', 'Kimbra']",2AsusXITU8P25dlRNhcAbG,False,72,244973,2012,['australian pop'],0.864,0.591,0.495,0.000133,0.0992,-7.036,0.037,129.062,0.72
0VwNdo84DaVYLIkbVO86ND,29,We Are Never Ever Getting Back Together,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,False,72,193146,2012,['pop'],0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75
7oVEtyuv9NBmnytsCIsY5I,30,BURN IT DOWN,['Linkin Park'],6XyY86QOPPrYVGvF9ch6wz,False,71,230253,2012,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",0.585,0.0143,0.972,0.0,0.0707,-4.45,0.0534,110.006,0.585
3oL3XRtkP1WVbMxf7dtTdu,31,The One That Got Away,['Katy Perry'],6jJ0s89eD6GaHleKKya26X,False,71,227333,2012,"['dance pop', 'pop']",0.687,0.000802,0.792,0.0,0.2,-4.023,0.0353,133.962,0.864
6s8nHXTJVqFjXE4yVZPDHR,32,Troublemaker (feat. Flo Rida),"['Olly Murs', 'Flo Rida']",3whuHq0yGx60atvA2RCVRW,False,71,185586,2012,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",0.762,0.015,0.863,0.0,0.125,-3.689,0.0561,106.012,0.965
2LEF1A8DOZ9wRYikWgVlZ8,33,Good Feeling,['Flo Rida'],0jnsk9HBra6NMjO2oANoPY,False,73,248133,2012,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.706,0.0588,0.89,0.00286,0.306,-4.444,0.0688,128.011,0.684
0TAmnCzOtqRfvA38DDLTjj,34,Little Things,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,71,219040,2012,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.709,0.811,0.22,0.0,0.175,-11.856,0.0327,110.076,0.53
0W4Kpfp1w2xkY3PrV714B7,35,Ho Hey,['The Lumineers'],16oZKvXb6WkQlVAjwo2Wbg,False,71,163133,2012,"['folk-pop', 'pop', 'stomp and holler']",0.685,0.794,0.466,2.06e-06,0.0915,-9.074,0.0304,79.936,0.353
56sxN1yKg1dgOZXBcAHkJG,36,"Gone, Gone, Gone",['Phillip Phillips'],6p5JxpTc7USNnBnLzctyd4,False,71,209693,2012,"['folk-pop', 'neo mellow', 'pop rock', 'post-teen pop']",0.664,0.129,0.642,0.0,0.114,-5.961,0.038,118.002,0.501
03UrZgTINDqvnUMbbIMhql,37,Gangnam Style (강남스타일),['PSY'],2dd5mrQZvg6SmahdgVKDzh,False,71,219493,2012,"['k-pop', 'k-rap', 'korean old school hip hop']",0.727,0.00417,0.937,0.0,0.091,-2.871,0.286,132.067,0.749
4Kz4RdRCceaA9VgTqBhBfa,38,The Motto,"['Drake', 'Lil Wayne']",3TVXtAsR1Inumwj472S9r4,True,70,181573,2012,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.766,0.000107,0.442,6.12e-05,0.111,-8.558,0.356,201.8,0.39
4sOX1nhpKwFWPvoMMExi3q,39,Primadonna,['MARINA'],6CwfuxIqcltXDGjfZsMd9A,False,70,221075,2012,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",0.66,0.0884,0.689,0.0,0.0922,-2.671,0.0337,127.98,0.427
6Vh03bkEfXqekWp7Y1UBRb,40,Live While We're Young,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,71,200213,2012,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.663,0.0542,0.857,0.0,0.144,-2.16,0.0544,126.039,0.931
1nZzRJbFvCEct3uzu04ZoL,41,Part Of Me,['Katy Perry'],6jJ0s89eD6GaHleKKya26X,False,70,216160,2012,"['dance pop', 'pop']",0.678,0.000417,0.918,0.0,0.0744,-4.63,0.0355,130.028,0.769
1oHNvJVbFkexQc0BpQp7Y4,42,Starships,['Nicki Minaj'],0hCNtLu0JehylgoiP8L4Gh,True,70,210626,2012,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.747,0.135,0.716,0.0,0.251,-2.457,0.075,125.008,0.751
3n69hLUdIsSa1WlRmjMZlW,43,Breezeblocks,['alt-J'],3XHO7cRUPCLOr6jwp8vsx5,False,69,227080,2012,"['indie rock', 'modern rock']",0.615,0.096,0.658,0.000911,0.205,-7.299,0.0343,150.093,0.293
3tyPOhuVnt5zd5kGfxbCyL,44,Where Have You Been,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,False,69,242680,2012,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.719,0.00201,0.847,0.0204,0.223,-6.34,0.0916,127.963,0.444
4qikXelSRKvoCqFcHLB2H2,45,Mercy,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']",5K4W6rqBFWDnAN6FQUkS6x,True,69,329320,2012,"['chicago rap', 'rap']",0.563,0.0685,0.496,5.8e-05,0.173,-9.381,0.406,139.993,0.426
1EAgPzRbK9YmdOESSMUm6P,46,Home,['Phillip Phillips'],6p5JxpTc7USNnBnLzctyd4,False,68,210173,2012,"['folk-pop', 'neo mellow', 'pop rock', 'post-teen pop']",0.606,0.0256,0.826,1.56e-05,0.117,-6.04,0.0307,121.04,0.322
4P0osvTXoSYZZC2n8IFH3c,47,Payphone,"['Maroon 5', 'Wiz Khalifa']",04gDigrS5kc9YWfZHwBETP,True,68,231386,2012,['pop'],0.739,0.0136,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523
1DunhgeZSEgWiIYbHqXl0c,48,Latch,"['Disclosure', 'Sam Smith']",6nS5roXSAGhTGr34W6n7Et,False,68,255866,2012,"['edm', 'house', 'pop', 'uk dance']",0.729,0.0178,0.735,0.000193,0.089,-5.455,0.0919,121.986,0.544
5ujh1I7NZH5agbwf7Hp8Hc,49,Swimming Pools (Drank) - Extended Version,['Kendrick Lamar'],2YZyLoL8N0Wb9xBt1NhZWg,True,67,313786,2012,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.716,0.123,0.485,2.69e-05,0.604,-7.745,0.404,74.132,0.26
3sP3c86WFjOzHHnbhhZcLA,50,Give Your Heart a Break,['Demi Lovato'],6S2OmqARrzebs0tKUEyXyp,False,67,205346,2012,"['dance pop', 'pop', 'post-teen pop']",0.651,0.23,0.695,0.0,0.144,-3.218,0.0487,123.008,0.569
16EMONl2vH3rt9f4ehTG8g,51,212,"['Azealia Banks', 'Lazy Jay']",7gRhy3MIPHQo5CXYfWaw9I,True,67,204956,2012,"['alternative r&b', 'dance pop', 'escape room', 'hip house', 'lgbtq+ hip hop', 'pop', 'trap queen']",0.846,0.0123,0.772,0.000106,0.0769,-5.735,0.259,125.998,0.622
2sEk5R8ErGIFxbZ7rX6S2S,52,How to Be a Heartbreaker,['MARINA'],6CwfuxIqcltXDGjfZsMd9A,False,67,221493,2012,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",0.69,0.0142,0.897,0.0,0.108,-4.696,0.0506,140.05,0.849
6VRhkROS2SZHGlp0pxndbJ,53,Bangarang (feat. Sirah),"['Skrillex', 'Sirah']",5he5w2lnU9x7JFhnwcekXX,True,67,215253,2012,"['brostep', 'complextro', 'edm', 'electro']",0.716,0.0145,0.972,3.22e-05,0.317,-2.302,0.196,110.026,0.576
53QF56cjZA9RTuuMZDrSA6,54,I Won't Give Up,['Jason Mraz'],4phGZZrJZRo4ElhRtViYdl,False,66,240165,2012,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",0.483,0.694,0.303,0.0,0.115,-10.058,0.0429,133.406,0.139
0RUGuh2uSNFJpGMSsD1F5C,55,It Will Rain,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,66,257720,2012,"['dance pop', 'pop']",0.576,0.337,0.835,0.0,0.082,-6.826,0.0486,150.017,0.476
0lHAMNU8RGiIObScrsRgmP,56,Titanium (feat. Sia),"['David Guetta', 'Sia']",1Cs0zKBU1kc0i8ypK3B9ai,False,66,245040,2012,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.604,0.0678,0.788,0.153,0.127,-3.673,0.103,126.06,0.301
4XNrMwGx1SqP01sqkGTDmo,57,One More Night,['Maroon 5'],04gDigrS5kc9YWfZHwBETP,False,67,219466,2012,['pop'],0.718,0.0444,0.82,0.0,0.0846,-3.453,0.0323,92.998,0.613
6HZ9VeI5IRFCNQLXhpF4bq,58,I Love It (feat. Charli XCX),"['Icona Pop', 'Charli XCX']",1VBflYyxBhnDc9uVib98rw,True,66,157152,2012,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']",0.711,0.00952,0.906,1.64e-05,0.153,-2.671,0.0284,125.916,0.824
6t6oULCRS6hnI7rm0h5gwl,59,Some Nights,['fun.'],5nCi3BB41mBaMH9gfr6Su0,True,66,277040,2012,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",0.672,0.0178,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,0.392
25cUhiAod71TIQSNicOaW3,60,Adorn,['Miguel'],360IAlyVv4PCEVjgyMZrxK,False,66,193146,2012,"['dance pop', 'pop', 'r&b']",0.625,0.0543,0.576,4.07e-05,0.187,-5.693,0.175,179.063,0.235
